k_a_hr,k_e_hr,k_g_min,Vd,sex,num_drinks,Dose_g,tau_min
1.2971836188229884,0.21667388273179833,0.028464974819099063,0.7142901970271368,M,2,28,21.575674072996982
1.369312257861037,0.15296275486435607,0.029124883989924303,0.7064797676640725,M,5,70,16.61468867693535
1.446026125403783,0.15216040444663287,0.027761854950617428,0.5617650544477502,F,4,56,19.910215455511047
1.3620784367330878,0.0868377542399098,0.02843894119023058,0.689420178948811,M,6,84,20.10415143992391
1.476945767183707,0.22181981426364172,0.02736279973309085,0.7000398708502168,M,4,56,16.874740012329273
1.5347848819659977,0.15446401854974773,0.028541442842630108,0.6948653346458917,M,7,98,16.094413139517755
1.364439297606225,0.22733423163528782,0.026384510203251266,0.6295198499738532,F,5,70,22.00138536050311
1.2069139227096435,0.22888711913557253,0.025782364339268463,0.6297574144147675,F,3,42,23.1614995824062
1.4565102712689493,0.22338280675475314,0.028152156834588597,0.6203834608126397,F,6,84,20.355877821050367
1.5830959681372723,0.24775325339810245,0.026878953579507984,0.701399821002411,M,6,84,18.855218932007016
1.23935590496729,0.13320622717657754,0.02928656859063973,0.608823983317223,F,4,56,16.673648061232953
1.371719383638359,0.17288354537621192,0.028832529421814475,0.629507041465388,F,3,42,21.55686276657587
1.5855042343548202,0.21250786967095292,0.027040535712668547,0.7022777408397894,M,2,28,22.70057498975877
1.3207779207394492,0.13992227409733524,0.02947462016804142,0.6990633479578525,M,5,70,17.510255595336925
1.504938307092676,0.11790357515580595,0.025451631725845775,0.6126623699857111,F,4,56,18.792780883631945
1.2839028021015237,0.13013548927168614,0.026271690251190926,0.6904344999203782,M,5,70,18.52640535428516
1.2047353713632396,0.12814735678137884,0.029741718919137614,0.6108336449574507,F,4,56,17.733503507297705
1.283345493389128,0.14210390536590567,0.030328905105726476,0.7068664949478567,M,5,70,22.116799587332142
1.428945461668181,0.15577579752093917,0.02879873966070103,0.6318212911929205,F,6,84,16.977592980615043
1.3700585185066891,0.18035549243096993,0.02937868224460145,0.5551607654441056,F,7,98,21.53054614839359
1.4848548314432224,0.203109302264584,0.02747062453163822,0.6947025263700235,M,3,42,16.09619466913702
1.226315031022613,0.1604412982971831,0.02958742343127687,0.6903826939506534,M,5,70,17.306489650569176
1.486389270195207,0.22942355278772492,0.029517960025455793,0.6214680503381278,F,5,70,21.925633630718952
1.2704127190479375,0.16831255269015388,0.028940078509811965,0.5834844823753144,F,5,70,22.469853883437633
1.4524287646909153,0.1941685643811168,0.027915520229332712,0.7120263155990297,M,4,56,23.304459591325788
1.4419436287947132,0.23091450276509962,0.029178407644619687,0.7067702541401695,M,4,56,23.04884725657308
1.1348021445976277,0.26137447234489614,0.028914564956435726,0.6051810357724128,F,4,56,17.402374027293863
1.485749212380174,0.20909264387680382,0.02564138667545698,0.5802917093658758,F,3,42,18.933901085677014
1.3290833132109376,0.25900713829558225,0.027932344108994228,0.5830666071402599,F,2,28,19.315277586904493
1.6134996183658081,0.12669888829944453,0.028768247983516272,0.623428398573428,F,2,28,20.06047749276129
1.277556718838558,0.19021875015570378,0.0271409469576444,0.5940878053799795,F,5,70,17.79541373218572
1.5726299694691952,0.17066781836001294,0.029329378264479088,0.5866435302321582,F,3,42,19.287864852580686
1.2209575355801667,0.2534221532138282,0.02946508452003942,0.6970535133047495,M,4,56,21.723511221761598
1.1112270625380192,0.20068427349237294,0.02834923595716018,0.6155965785613524,F,1,14,21.12043739114346
1.503706312158338,0.21889092433526885,0.029462415424857315,0.5767292456408846,F,6,84,22.337193998538424
